date,home_team,away_team,home_score,away_score,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2023-07-10,Lesotho,Mozambique,1,0,COSAFA Cup,South Africa,1237,1319,154,128
2023-07-11,Bermuda,Greenland,3,2,Island Games,the United Kingdom,1169,953,165,192
2023-07-11,Zambia,Seychelles,4,2,COSAFA Cup,South Africa,1485,873,86,203
2023-07-11,South Africa,Eswatini,2,1,COSAFA Cup,South Africa,1567,1272,68,144
2023-07-11,Malawi,Comoros,2,0,COSAFA Cup,South Africa,1323,1227,126,156
2023-07-11,Botswana,Namibia,0,0,COSAFA Cup,South Africa,1352,1370,117,114
2023-07-12,Mozambique,Mauritius,1,0,COSAFA Cup,South Africa,1324,977,124,188
2023-07-12,Angola,Lesotho,4,2,COSAFA Cup,South Africa,1397,1219,107,158
2023-07-12,United States,Panama,1,1,CONCACAF Championship,the United States,1805,1707,25,41
2023-07-12,Mexico,Jamaica,3,0,CONCACAF Championship,the United States,1823,1584,23,63
2023-07-14,South Africa,Zambia,1,2,COSAFA Cup,South Africa,1537,1515,71,78
2023-07-14,Lesotho,Malawi,1,1,COSAFA Cup,South Africa,1225,1317,156,129
2023-07-16,South Africa,Malawi,0,0,COSAFA Cup,South Africa,1522,1332,74,121
2023-07-16,Zambia,Lesotho,1,0,COSAFA Cup,South Africa,1521,1219,76,158
2023-07-16,Mexico,Panama,1,0,CONCACAF Championship,the United States,1840,1690,20,45
2023-07-30,Madagascar,Mayotte,3,1,Friendly tournament,Madagascar,1252,1209,150,158
2023-08-02,Ethiopia,Guyana,2,0,Friendly,the United States,1316,1160,130,166
2023-08-24,Madagascar,Seychelles,1,0,Indian Ocean Games,Madagascar,1254,871,150,203
2023-08-24,Comoros,Mayotte,0,0,Indian Ocean Games,Madagascar,1226,1210,155,158
2023-08-26,Madagascar,Mauritius,1,1,Indian Ocean Games,Madagascar,1242,989,151,188
2023-08-27,Bolivia,Panama,1,2,Friendly,Bolivia,1603,1701,61,42
2023-08-28,Tahiti,Cook Islands,9,1,Friendly,Tahiti,1147,680,167,221
2023-08-28,Mauritius,Seychelles,1,0,Indian Ocean Games,Madagascar,999,861,187,204
2023-08-28,Comoros,Reunion,1,1,Indian Ocean Games,Madagascar,1232,1357,155,116
2023-08-31,Tahiti,Cook Islands,3,0,Friendly,Tahiti,1148,679,167,222
